Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Miniband Feet Lateral Walk,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Walking,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Miniband Standing Glute Kickback,Video Demonstration,,Novice,Glutes,Gluteus Maximus,,,Miniband,1,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Isolation,Unilateral,
Barbell Hip Thrust,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Barbell,1,,,Bridge,Double Arm,Continuous,Pronated,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,Bodybuilding
Barbell Single Leg Hip Thrust,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Barbell,1,,,Single Leg Bridge,Double Arm,Continuous,Pronated,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,Bodybuilding
Stability Ball Single Leg Glute Bridge,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Stability Ball,1,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Miniband Standing Hip Abduction,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Standing,No Arms,Continuous,Hand Assisted,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Bilateral,
Miniband 3-Way Cha Cha,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,Hip Extension,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Barbell Standing Calf Raise,Video Demonstration,Video Explanation,Intermediate,Calves,Gastrocnemius,Soleus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Cable Hip Abduction,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Cable,1,,,Standing,No Arms,Continuous,Hand Assisted,Other,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,
Miniband Wall Sit Hip Abduction,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,,Miniband,1,,,Wall Sit,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Bilateral,
Barbell Overhead Adductor Slide,,,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Stability Ball T's Y's I's ,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,,,Stability Ball,1,,,Prone,Double Arm,Continuous,No Grip,No Load,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Postural
Resistance Band Standing Reverse Fly,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Resistance Band Lateral Raise,Video Demonstration,,Beginner,Shoulders,Medial Deltoids,,,Resistance Band,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Dumbbell Lateral Raise,Video Demonstration,Video Explanation,Beginner,Shoulders,Medial Deltoids,,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Resistance Band Standing Shoulder External Rotation,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,
Double Dumbbell Seated Lateral Raise,Video Demonstration,,Beginner,Shoulders,Medial Deltoids,,,Dumbbell,2,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Pike Push Up,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Dumbbell Side Lying Shoulder External Rotation,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,,,Side Lying,Single Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,
Single Arm Dumbbell Seated Shoulder External Rotation,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,,,Seated,Single Arm,Continuous,Pronated,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,
Miniband Standing Shoulder External Rotation,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Miniband,1,,,Standing,Double Arm,Continuous,Neutral,No Load,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,
Double Dumbbell Seated Cuban Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,,,Seated,Double Arm,Continuous,Pronated,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,
Double Dumbbell Standing Cuban Rotation,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,
Single Arm Cable Half Kneeling Shoulder External Rotation 90 Degrees,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,,,Half Kneeling,Single Arm,Continuous,Pronated,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Video Demonstration,,Beginner,Shoulders,Subscapularis ,Teres Major,,Dumbbell,1,,,Side Lying,Single Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Internal Rotation,,,Transverse Plane,,,Upper Body,,Isolation,Unilateral,
Parallette Feet Elevated Pike Push Up ,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Thruster,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,
Parallette Wall Supported Handstand Push Up,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Sots Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Single Arm Dumbbell V Sit Overhead Press ,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis ,Dumbbell,1,,,V Sit Seated,Single Arm,Continuous,Neutral,Overhead,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Z Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,,,Seated Floor,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,,,Seated Floor,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Dumbbell Arnold Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Stability Ball,1,Dumbbell,2,Seated,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Single Arm Dumbbell Half Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis ,Dumbbell,1,,,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Cable Lateral Raise,Video Demonstration,,Novice,Shoulders,Medial Deltoids,,,Cable,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Double Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,
Single Arm Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Parallette Handstand Push Up,Video Demonstration,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Double Dumbbell Seated Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,,,Seated,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,1,,,Walking,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Freestanding Handstand Push Up,Video Demonstration,Video Explanation,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Shrug,Video Demonstration,,Novice,Trapezius,Upper Trapezius,,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Double Dumbbell Shrug,Video Demonstration,,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Cable Standing Face Pull,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Cable Seated Face Pull,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Double Dumbbell Standing Scaption,Video Demonstration,,Beginner,Shoulders,Serratus Anterior,,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,,Isolation,Bilateral,
Double Dumbbell Seated Scaption,Video Demonstration,,Beginner,Shoulders,Serratus Anterior,,,Dumbbell,2,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,,Isolation,Bilateral,
Stability Ball Dumbbell Seated Scaption,Video Demonstration,,Beginner,Shoulders,Serratus Anterior,,,Stability Ball,1,Dumbbell,2,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,,Isolation,Bilateral,
Cable Standing Knee Strap Hip External Rotation (90 Degrees),Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,,,Standing,No Arms,Continuous,Hand Assisted,Other,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,
Cable Hip External Rotation,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,,,Standing,No Arms,Continuous,Neutral,Other,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,
Double Dumbbell Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Alternating Double Dumbbell Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Alternating,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Cross Body Hammer Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,Elbow Flexion,,,Frontal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Cable Guillotine Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Supine,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Supine Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Supine,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Incline Bench Preacher Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,Bench (Incline),1,Standing,Single Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Dumbbell Crush Grip Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,,,Standing,Double Arm,Continuous,Crush Grip,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Zottman Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Dumbbell Waiter Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
High Cable Straight Bar Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Straight Bar Drag Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Spider Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Prone,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
EZ Bar Spider Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,1,,,Prone,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Parallette Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Parallette Bars,1,,,Side Plank,Single Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Parallette Feet Elevated Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Side Plank Reach Through,,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Parallette Bars,1,,,Side Plank,Single Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Parallette Plank Single Arm Dumbbell Row,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,Obliques,,Parallette Bars,1,Dumbbell,1,Prone,Single Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Pull,Anti-Extension,Anti-Rotational,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Stability Ball Cable Preacher Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Stability Ball,1,Cable,,Prone,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Standing Concentration Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,,,Standing,Single Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Frontal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Reverse Barbell Curl,Video Demonstration,Video Explanation,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
EZ Bar Standing Bicep Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,1,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
